Company Name,Date,Rating Type,Agency,Curr Rtg,Last Rtg,Ctry,Industry Type,Security Name
Barbados,6/10/2009,Foreign Currency LT Debt,S&P,BBB ,BBB+ ,BB,Sovereigns,BF693676 Govt
Barbados,11/20/2013,Foreign Currency LT Debt,S&P,BB- ,BB+ ,BB,Sovereigns,BF693676 Govt
Barbados,8/5/2004,Foreign Currency LT Debt,S&P,BBB+ ,A- ,BB,Sovereigns,BF693676 Govt
Barbados,10/22/2010,Foreign Currency LT Debt,S&P,BBB- ,BBB ,BB,Sovereigns,BF693676 Govt
Barbados,7/17/2012,Foreign Currency LT Debt,S&P,BB+ ,BBB- ,BB,Sovereigns,BF693676 Govt
Barbados,4/18/1997,Foreign Currency LT Debt,Moody's,Ba1 ,Ba2 *+,BB,Sovereigns,BF693676 Govt
Barbados,5/14/2009,Foreign Currency LT Debt,Moody's,Baa2 *-,Baa2 ,BB,Sovereigns,BF693676 Govt
Barbados,2/8/2000,Foreign Currency LT Debt,Moody's,Baa2 ,Ba1 ,BB,Sovereigns,BF693676 Govt
Barbados,12/20/2013,Foreign Currency LT Debt,Moody's,Ba3 ,Ba1 ,BB,Sovereigns,BF693676 Govt
Barbados,6/2/2014,Foreign Currency LT Debt,Moody's,B3 ,Ba3 ,BB,Sovereigns,BF693676 Govt
Barbados,2/13/1997,Foreign Currency LT Debt,Moody's,Ba2 *+,Ba2 ,BB,Sovereigns,BF693676 Govt
Barbados,12/20/2012,Foreign Currency LT Debt,Moody's,Ba1 ,Baa3 ,BB,Sovereigns,BF693676 Govt
Barbados,12/5/1994,Foreign Currency LT Debt,Moody's,Ba2 ,,BB,Sovereigns,BF693676 Govt
Barbados,10/13/2009,Foreign Currency LT Debt,Moody's,Baa3 ,Baa2 *-,BB,Sovereigns,BF693676 Govt
People's Republic of Bangladesh,4/5/2010,Foreign Currency LT Debt,S&P,BB- ,,BD,Sovereigns,43886Z BD Equity
Bangladesh Treasury Bond,4/5/2010,Foreign Currency LT Debt,S&P,BB- ,,BD,Sovereigns,EH043605 Corp
Bangladesh Treasury Bill,4/5/2010,Foreign Currency LT Debt,S&P,BB- ,,BD,Sovereigns,EK143504 Corp
Kingdom of Belgium,12/16/2011,Foreign Currency LT Debt,Moody's,Aa3 ,Aa1 *-,BE,Sovereigns,111136Z BB Equity
Kingdom of Belgium,10/7/2011,Foreign Currency LT Debt,Moody's,Aa1 *-,Aa1 ,BE,Sovereigns,111136Z BB Equity
Kingdom of Belgium,12/7/1992,Foreign Currency LT Debt,S&P,AA+ ,AA+ ,BE,Sovereigns,111136Z BB Equity
Kingdom of Belgium,11/25/2011,Foreign Currency LT Debt,S&P,AAu ,AA+u ,BE,Sovereigns,111136Z BB Equity
Kingdom of Belgium,1/13/2012,Foreign Currency LT Debt,S&P,AAu ,AAu *-,BE,Sovereigns,111136Z BB Equity
Kingdom of Belgium,2/17/2011,Foreign Currency LT Debt,S&P,AA+u ,AA+ ,BE,Sovereigns,111136Z BB Equity
Kingdom of Belgium,12/5/2011,Foreign Currency LT Debt,S&P,AAu *-,AAu ,BE,Sovereigns,111136Z BB Equity
Republic of Bulgaria,4/5/2011,Foreign Currency LT Debt,Moody's,Baa3 *+,Baa3 ,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,7/22/2011,Foreign Currency LT Debt,Moody's,Baa2 ,Baa3 *+,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,11/17/2004,Foreign Currency LT Debt,Moody's,Ba1 ,Ba2 *+,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,8/25/2004,Foreign Currency LT Debt,Moody's,Ba2 *+,Ba2 ,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,12/16/1997,Foreign Currency LT Debt,Moody's,B2 ,B3 ,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,6/5/2003,Foreign Currency LT Debt,Moody's,Ba2 ,B1 ,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,9/27/1996,Foreign Currency LT Debt,Moody's,B3 ,,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,12/19/2001,Foreign Currency LT Debt,Moody's,B1 ,B2 ,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,3/1/2006,Foreign Currency LT Debt,Moody's,Baa3 ,Ba1 *+,BG,Sovereigns,129225Z BU Equity
Republic of Bulgaria,12/21/2005,Foreign Currency LT Debt,Moody's,Ba1 *+,Ba1 ,BG,Sovereigns,129225Z BU Equity
Bermuda Government International Bond,6/16/1995,Foreign Currency LT Debt,S&P,AA ,AA ,BM,Sovereigns,EI321885 Corp
Bermuda,12/29/2011,Foreign Currency LT Debt,S&P,AA- ,AA ,BM,Sovereigns,3343895ZBH Equity
Bermuda,6/16/1995,Foreign Currency LT Debt,S&P,AA ,AA ,BM,Sovereigns,3343895ZBH Equity
Bermuda Government International Bond,12/29/2011,Foreign Currency LT Debt,S&P,AA- ,AA ,BM,Sovereigns,EI321885 Corp
Plurinational State of Bolivia,5/18/2012,Foreign Currency LT Debt,S&P,BB- ,B+ ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,5/19/2011,Foreign Currency LT Debt,S&P,B+ ,B ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,5/6/2010,Foreign Currency LT Debt,S&P,B ,B- ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,2/26/2003,Foreign Currency LT Debt,S&P,B ,B+ ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,10/20/2003,Foreign Currency LT Debt,S&P,B- ,B ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,5/15/2014,Foreign Currency LT Debt,S&P,BB ,BB- ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,6/8/2012,Foreign Currency LT Debt,Moody's,Ba3 ,B1 ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,9/28/2009,Foreign Currency LT Debt,Moody's,B2 ,B3 ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,4/16/2003,Foreign Currency LT Debt,Moody's,B3 ,B1 ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,5/29/1998,Foreign Currency LT Debt,Moody's,B1 ,B1 ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,6/24/2010,Foreign Currency LT Debt,Moody's,B2 *+,B2 ,BO,Sovereigns,1003Z VB Equity
Plurinational State of Bolivia,12/2/2010,Foreign Currency LT Debt,Moody's,B1 ,B2 *+,BO,Sovereigns,1003Z VB Equity
Federative Republic of Brazil,10/16/2000,Foreign Currency LT Debt,Moody's,B1 ,B2 *+,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,9/9/2004,Foreign Currency LT Debt,Moody's,B1 ,B2 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,8/23/2007,Foreign Currency LT Debt,Moody's,Ba1 ,Ba2 *+,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,1/14/1999,Foreign Currency LT Debt,S&P,B+ ,BB- ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,4/30/2008,Foreign Currency LT Debt,S&P,BBB- ,BB+ ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,5/16/2007,Foreign Currency LT Debt,S&P,BB+ ,BB ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,5/24/2007,Foreign Currency LT Debt,Moody's,Ba2 *+,Ba2 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,10/12/2005,Foreign Currency LT Debt,Moody's,Ba3 ,B1 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,8/31/2006,Foreign Currency LT Debt,Moody's,Ba2 ,Ba3 *+,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,8/12/2002,Foreign Currency LT Debt,Moody's,B2 ,B1 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,2/28/2006,Foreign Currency LT Debt,S&P,BB ,BB- ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,9/3/1998,Foreign Currency LT Debt,Moody's,B2 ,B1 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,3/24/2014,Foreign Currency LT Debt,S&P,BBB- ,BBB ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,8/17/2000,Foreign Currency LT Debt,Moody's,B2 *+,B2 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,11/30/1994,Foreign Currency LT Debt,Moody's,B1 ,B2 *+,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,8/1/2006,Foreign Currency LT Debt,Moody's,Ba3 *+,Ba3 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,10/5/1994,Foreign Currency LT Debt,Moody's,B2 *+,B2 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,1/3/2001,Foreign Currency LT Debt,S&P,BB- ,B+ ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,11/30/1994,Foreign Currency LT Debt,S&P,B ,,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,7/18/1995,Foreign Currency LT Debt,S&P,B+ ,B ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,4/2/1997,Foreign Currency LT Debt,S&P,BB- ,B+ ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,9/17/2004,Foreign Currency LT Debt,S&P,BB- ,B+ ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,7/2/2002,Foreign Currency LT Debt,S&P,B+ ,BB- ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,9/22/2009,Foreign Currency LT Debt,Moody's,Baa3 ,Ba1 *+,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,6/20/2011,Foreign Currency LT Debt,Moody's,Baa2 ,Baa3 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,7/6/2009,Foreign Currency LT Debt,Moody's,Ba1 *+,Ba1 ,BR,Sovereigns,1323Z BZ Equity
Federative Republic of Brazil,11/17/2011,Foreign Currency LT Debt,S&P,BBB ,BBB- ,BR,Sovereigns,1323Z BZ Equity
Brazil Notas do Tesouro Nacional serie D,8/31/2006,Foreign Currency LT Debt,Moody's,Ba2 ,Ba3 *+,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,8/1/2006,Foreign Currency LT Debt,Moody's,Ba3 *+,Ba3 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,9/9/2004,Foreign Currency LT Debt,Moody's,B1 ,B2 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,11/30/1994,Foreign Currency LT Debt,Moody's,B1 ,B2 *+,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,8/17/2000,Foreign Currency LT Debt,Moody's,B2 *+,B2 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,10/16/2000,Foreign Currency LT Debt,Moody's,B1 ,B2 *+,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,10/5/1994,Foreign Currency LT Debt,Moody's,B2 *+,B2 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,8/23/2007,Foreign Currency LT Debt,Moody's,Ba1 ,Ba2 *+,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,5/24/2007,Foreign Currency LT Debt,Moody's,Ba2 *+,Ba2 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,9/3/1998,Foreign Currency LT Debt,Moody's,B2 ,B1 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,8/12/2002,Foreign Currency LT Debt,Moody's,B2 ,B1 ,BR,Sovereigns,CP505006 Corp
Brazil Notas do Tesouro Nacional serie D,10/12/2005,Foreign Currency LT Debt,Moody's,Ba3 ,B1 ,BR,Sovereigns,CP505006 Corp
