agency,country,iso2c,year,ratings
Moody's,Ukraine,UA,2011,B2
Moody's,Ukraine,UA,2012,B3
Moody's,United States,US,2009,Aaa
Moody's,United States,US,2010,Aaa
Moody's,United States,US,2011,Aaa
Moody's,United States,US,2012,Aaa
Moody's,"Venezuela, RB",VE,2006,B2
Moody's,"Venezuela, RB",VE,2007,B2
Moody's,"Venezuela, RB",VE,2008,B2
Moody's,"Venezuela, RB",VE,2009,B2
Moody's,"Venezuela, RB",VE,2010,B2
Moody's,"Venezuela, RB",VE,2011,B2
Moody's,"Venezuela, RB",VE,2012,B2
Moody's,Vietnam,VN,2006,Ba3
Moody's,Vietnam,VN,2007,Ba3
Moody's,Vietnam,VN,2008,Ba3
Moody's,Vietnam,VN,2009,Ba3
Moody's,Vietnam,VN,2010,B1
Moody's,Vietnam,VN,2011,B1
Moody's,Vietnam,VN,2012,B2
Moody's,South Africa,ZA,2006,Baa1
Moody's,South Africa,ZA,2007,Baa1
Moody's,South Africa,ZA,2008,Baa1
Moody's,South Africa,ZA,2009,A3
Moody's,South Africa,ZA,2010,A3
Moody's,South Africa,ZA,2011,A3
Moody's,South Africa,ZA,2012,Baa1
S&P,Argentina,AR,2006,B+
S&P,Argentina,AR,2007,B+
S&P,Argentina,AR,2008,B
S&P,Argentina,AR,2009,B
S&P,Argentina,AR,2010,B
S&P,Argentina,AR,2011,B
S&P,Argentina,AR,2012,B-
S&P,Austria,AT,2006,AAA
S&P,Austria,AT,2007,AAA
S&P,Austria,AT,2008,AAA
S&P,Austria,AT,2009,AAA
S&P,Austria,AT,2010,AAA
S&P,Austria,AT,2011,AAA
S&P,Austria,AT,2012,AA+
S&P,Australia,AU,2008,AAA
S&P,Australia,AU,2009,AAA
S&P,Australia,AU,2010,AAA
S&P,Australia,AU,2011,AAA
S&P,Australia,AU,2012,AAA
S&P,Belgium,BE,2006,AA+
S&P,Belgium,BE,2007,AA+
S&P,Belgium,BE,2008,AA+
S&P,Belgium,BE,2009,AA+
S&P,Belgium,BE,2010,AA+
S&P,Belgium,BE,2011,AA
S&P,Belgium,BE,2012,AA
S&P,Bulgaria,BG,2006,BBB+
S&P,Bulgaria,BG,2007,BBB+
S&P,Bulgaria,BG,2008,BBB+
S&P,Bulgaria,BG,2009,BBB+
S&P,Bulgaria,BG,2010,BBB+
S&P,Bulgaria,BG,2011,BBB+
S&P,Bulgaria,BG,2012,BBB+
S&P,Bahrain,BH,2009,A
S&P,Bahrain,BH,2010,BBB
S&P,Brazil,BR,2006,BB
S&P,Brazil,BR,2007,BB+
S&P,Brazil,BR,2008,BBB-
S&P,Brazil,BR,2009,BBB-
S&P,Brazil,BR,2010,BBB-
S&P,Brazil,BR,2011,BBB
S&P,Brazil,BR,2012,BBB
S&P,Switzerland,CH,2009,AAA
S&P,Switzerland,CH,2010,AAA
S&P,Switzerland,CH,2011,AAA
S&P,Chile,CL,2006,A
S&P,Chile,CL,2007,A+
S&P,Chile,CL,2008,A+
S&P,Chile,CL,2009,A+
S&P,Chile,CL,2010,A+
S&P,Chile,CL,2011,A+
S&P,Chile,CL,2012,AA-
S&P,China,CN,2006,A
S&P,China,CN,2007,A
S&P,China,CN,2008,A+
S&P,China,CN,2009,A+
S&P,China,CN,2010,AA-
S&P,China,CN,2011,AA-
S&P,China,CN,2012,AA-
S&P,Colombia,CO,2006,BB
S&P,Colombia,CO,2007,BB+
S&P,Colombia,CO,2008,BB+
S&P,Colombia,CO,2009,BB+
S&P,Colombia,CO,2010,BB+
S&P,Colombia,CO,2011,BBB-
S&P,Colombia,CO,2012,BBB-
S&P,Cyprus,CY,2008,A+
S&P,Cyprus,CY,2009,A+
S&P,Cyprus,CY,2010,A
S&P,Cyprus,CY,2011,A-
S&P,Cyprus,CY,2012,CCC+
S&P,Czech Republic,CZ,2006,A-
S&P,Czech Republic,CZ,2007,A
S&P,Czech Republic,CZ,2008,A
