"agency","iso2c","year","country","ratings.x","ratings_prior","lag_cds","lag_GNIpercap","ma_GDPgrowth","ma_inflation_cpi","ma_inflation_def","lag_currentaccount","lag_current_account_WEO","ma_budget","ma_fiscal_balance_WEO","external_debt","ext_debt_2","lag_export","dflt","port","dvlp_port","dvlp_wb","ratings.y","ratings"
"Moody's","DE",2006,"Germany","Aaa ","",NA,35880,0.294371366610569,1.41562341174938,0.975236947583422,4.68126887223542,4.828,-2.23503708151406,-3.74766666666667,340.801409659159,NA,1079807740138.29,0,NA,0,1,"Aaa","Aaa"
"Moody's","DE",2007,"Germany","Aaa ","",4.42040585774059,38380,1.21918345690681,1.59669202800885,0.669169001322306,5.80053191026553,5.967,-1.93354086744247,-2.915,322.076695927642,NA,1236506723508.71,0,6.5296525198939,1,1,"Aaa","Aaa"
"Moody's","DE",2008,"Germany","Aaa ","",4.76155735925004,40730,2.21675610946763,1.80756019217772,0.87116189565073,6.92998219201549,7.129,-1.2719990459282,-1.58566666666667,321.618219524291,NA,1479238336384.32,0,6.42165827477376,1,1,"Aaa","Aaa"
"Moody's","DE",2009,"Germany","Aaa ","",9.79753004277873,43910,2.18461438656453,2.1680509628996,0.946173639210334,5.80554525214769,5.975,-0.646846469287833,-0.499666666666667,342.04628525823,NA,1630627268993.5,0,6.3829909306,1,1,"Aaa","Aaa"
"Moody's","DE",2010,"Germany","Aaa ","",21.5590921927626,43810,0.59848550767359,1.74648712353293,1.43830513749533,5.90502686903341,6.03,-0.948796126135237,-0.981666666666667,404.137148513884,NA,1291640726222.59,0,6.3879094909,1,1,"Aaa","Aaa"
"Moody's","DE",2011,"Germany","Aaa ","",33.7864331727649,44780,0.693676517941785,1.34830978369382,1.12292740544792,5.72650930915612,5.878,-1.86783383863022,-2.451,361.01388611076,NA,1443157784352.25,0,6.1,1,1,"Aaa","Aaa"
"Moody's","DE",2012,"Germany","Aaa ","",49.9535311130759,46410,0.773730842087928,1.16390640494838,1.22000697381289,6.05315418305971,6.283,-1.88631071775824,-2.70033333333333,336.216802013067,NA,1681206877870.52,0,6,1,1,"Aaa","Aaa"
"Moody's","DK",2008,"Denmark","Aaa ","Aa1 ",NA,55700,2.42428517626006,1.80430335539044,2.53088066938444,1.38141335837818,1.417,5.17436239695733,4.95333333333333,317.035150909683,NA,164019667380.081,0,6.35328821136951,1,1,"Aaa","Aaa"
"Moody's","DK",2009,"Denmark","Aaa ","Aa1 ",70.4896913580247,60260,1.58505843120212,2.3345264689056,2.93211616996218,2.83624566087251,2.908,4.63232604936221,4.37466666666667,322.208479800036,NA,189861545661.261,0,6.2153317109,1,1,"Aaa","Aaa"
"Moody's","DK",2010,"Denmark","Aaa ","Aa1 ",66.1971681279919,59840,-0.296182961945281,2.14662610090541,2.36339376733121,3.36717475518933,3.467,2.16618935188943,1.77166666666667,404.661157375669,NA,149384241354.01,0,6.1354733083,1,1,"Aaa","Aaa"
"Moody's","DK",2011,"Denmark","Aaa ","Aa1 ",57.3477851376907,60820,-0.839085384713228,2.34119237042087,2.6074342756638,5.68540395461876,5.81,-0.30763924910864,-0.734333333333333,380.477583843235,NA,159010681756.556,0,6.2,1,1,"Aaa","Aaa"
"Moody's","DK",2012,"Denmark","Aaa ","Aa1 ",59.1626380183491,61470,-0.757154136103853,2.1269015281683,1.49838740524082,5.81984307161058,5.955,-2.19017266874129,-2.51,337.246952741108,NA,180802226689.972,0,5.8,1,1,"Aaa","Aaa"
"Moody's","EE",2006,"Estonia","Baa1 ","Baa1 ",NA,9670,7.38763841718463,2.82535036799436,5.02283380300296,-9.90063241924447,-8.741,1.9857703133987,1.641,119.003366426336,NA,9230612346.41596,0,NA,0,1,"Baa1","Baa1"
"Moody's","EE",2007,"Estonia","WR ","A1 ",9.5,11400,8.46040865711816,3.85589216575031,6.49981001414658,-15.2462540200005,-14.985,2.20757956912131,1.89566666666667,137.292616967224,NA,10769401893.6428,0,5.33763873725073,1,1,"WR","WR"
"Moody's","EE",2008,"Estonia","WR ","A1 ",8.76190476190476,13410,8.56549399699947,5.03908112809921,8.68258807890355,-15.7599893088324,-15.006,2.45224736921383,2.13466666666667,156.640656316075,NA,14052139398.8127,0,5.47766252317418,1,1,"WR","WR"
"Moody's","EE",2009,"Estonia","WR ","A1 ",156.655568086884,14870,5.61409548320594,7.13105216414155,9.15344264465595,-9.16473662713564,-8.713,1.05870556246645,0.633333333333333,171.867209426434,NA,16161665018.998,0,5.6020199091,1,1,"WR","WR"
"Moody's","EE",2010,"Estonia","WR ","A1 ",284.000516443691,14290,-0.438051307443875,5.6261550430033,6.38682559731475,2.84449504148367,2.55,-0.292782991437707,-0.822666666666667,210.013194090197,NA,11948919001.714,0,5.6262757446,1,1,"WR","WR"
"Moody's","EE",2011,"Estonia","WR ","A1 ",318.929366394088,14390,-2.42202133138187,4.41880228789438,3.10864734230113,2.00676861025746,1.804,-1.23906288779296,-1.54566666666667,152.983865200339,NA,14633446619.1474,0,5.6,1,1,"WR","WR"
"Moody's","EE",2012,"Estonia","WR ","A1 ",207.242598393005,15610,-2.32832598589464,2.62280620626225,1.65026688265525,0.230478003420561,-0.037,-0.170599504717286,-0.182333333333333,124.073718749924,NA,19633247869.0335,0,5.6,1,1,"WR","WR"
"Moody's","EG",2006,"Egypt, Arab Rep.","Ba1 ","Ba1 ",NA,1290,3.53193998018002,6.88259755465498,8.22004340585215,2.3446317710107,3.251,-5.95856517902991,-8.56133333333333,109.627920447246,29948152000,27213830088.4366,0,NA,0,0,"Ba1","Ba1"
"Moody's","EG",2007,"Egypt, Arab Rep.","Ba1 ","Ba1 ",103.055666666667,1390,4.65027725354664,7.92818091534539,8.41420515504511,2.45189902733927,1.632,-6.40930138550688,-8.61366666666667,91.0509915114055,30648521000,32191268335.9724,0,3.49446231155779,0,0,"Ba1","Ba1"
"Moody's","EG",2008,"Egypt, Arab Rep.","Ba1 ","Ba1 ",92.0797671568629,1620,5.62387042589982,7.27763082399217,8.72281550229911,0.315455921052632,2.068,-6.05843862679598,-8.378,78.6962850676598,34235668000,39469189331.2311,0,3.86998858780488,1,0,"Ba1","Ba1"
"Moody's","EG",2009,"Egypt, Arab Rep.","Ba1 ","Ba1 ",127.482002963332,1950,6.38992341208961,11.7601090621417,10.7199008126149,-0.868821887213847,0.547,-6.02908284582786,-8.244,62.2119930297398,33573620000,5.38e+10,0,4.3186629444,1,0,"Ba1","Ba1"
