"year","iso2c","agency","ratings","ratings_prior","GDPpercap","GDPgrowth","inflation_cpi","inflation_def","development","export","currentaccount","budget","ext_debt","currency_debt","country","current_account_WEO","fiscal_balance_WEO","def_indicator","spreadCDS","GNIpercap"
1990,"BJ","Moody's",NA,NA,1959965330.47596,8.97613436130615,NA,2.17659692431087,NA,375946888.94234,NA,NA,NA,1119737000,"Benin",-2.034,-7.18,0,NA,360
1990,"BJ","S&P",NA,NA,1959965330.47596,8.97613436130615,NA,2.17659692431087,NA,375946888.94234,NA,NA,NA,1119737000,"Benin",-2.034,-7.18,0,NA,360
1990,"BM","Moody's",NA,NA,1592400000,0.0192122958719381,NA,6.03357231008634,NA,NA,NA,NA,NA,NA,"Bermuda",NA,NA,0,NA,27060
1990,"BM","S&P",NA,NA,1592400000,0.0192122958719381,NA,6.03357231008634,NA,NA,NA,NA,NA,NA,"Bermuda",NA,NA,0,NA,27060
1990,"BN","Moody's",NA,NA,3520551724.13793,1.08942041626226,2.13866293163795,8.40996352177137,NA,2.176e+09,NA,NA,NA,NA,"Brunei Darussalam",71.904,-2.274,0,NA,12550
1990,"BN","S&P",NA,NA,3520551724.13793,1.08942041626226,2.13866293163795,8.40996352177137,NA,2.176e+09,NA,NA,NA,NA,"Brunei Darussalam",71.904,-2.274,0,NA,12550
1990,"BO","Moody's",NA,NA,4867582620.20708,4.63578790245245,17.118774604824,16.2679376931499,NA,1108688320.48918,NA,NA,NA,4369980000,"Bolivia",-4.021,-4.4,1,NA,730
1990,"BO","S&P",NA,NA,4867582620.20708,4.63578790245245,17.118774604824,16.2679376931499,NA,1108688320.48918,NA,NA,NA,4369980000,"Bolivia",-4.021,-4.4,1,NA,730
1990,"BR","Moody's",NA,NA,461951782000,-4.30000000000005,2947.73292977144,2735.48846059094,NA,3.788e+10,NA,-3.38547730208384,NA,120303909000,"Brazil",-0.814,NA,1,NA,2700
1990,"BR","S&P",NA,NA,461951782000,-4.30000000000005,2947.73292977144,2735.48846059094,NA,3.788e+10,NA,-3.38547730208384,NA,120303909000,"Brazil",-0.814,NA,1,NA,2700
1990,"BS","Moody's",NA,NA,3.166e+09,-1.59624908649569,4.66931912018677,5.07371104625665,NA,1714730000,NA,-1.8603916614024,NA,NA,"Bahamas, The",-1.177,NA,0,NA,14040
1990,"BS","S&P",NA,NA,3.166e+09,-1.59624908649569,4.66931912018677,5.07371104625665,NA,1714730000,NA,-1.8603916614024,NA,NA,"Bahamas, The",-1.177,NA,0,NA,14040
1990,"BT","Moody's",NA,NA,299787275.842376,10.8764346909591,10,5.70884938878369,NA,80434037.692747,NA,-5.83128124050345,NA,83544000,"Bhutan",-9.916,-7.918,0,NA,580
